condition,n_hits,n_total,hit_pct,fwd_5d_avg,fwd_5d_median,fwd_5d_edge,fwd_5d_win,fwd_5d_t,fwd_5d_p,fwd_5d_bench,fwd_10d_avg,fwd_10d_median,fwd_10d_edge,fwd_10d_win,fwd_10d_t,fwd_10d_p,fwd_10d_bench,fwd_20d_avg,fwd_20d_median,fwd_20d_edge,fwd_20d_win,fwd_20d_t,fwd_20d_p,fwd_20d_bench,sharpe_20d,worst_20d,best_20d
ADX > 40 (Very Strong),71125,493695,14.41,0.463,0.0,0.101,40.4,4.05,0.0001,0.362,0.906,0.0,0.181,43.6,5.05,0.0,0.725,1.7,0.0,0.24,47.0,4.42,0.0,1.459,0.117,-68.75,350.34
ADX > 50 (Extreme),31152,493695,6.31,0.441,0.0,0.069,34.4,1.76,0.0792,0.372,0.863,0.0,0.12,38.6,2.07,0.0388,0.743,1.661,0.0,0.179,42.7,1.93,0.0533,1.483,0.102,-63.34,350.34
ADX < 15 (No Trend),78874,493695,15.98,0.299,0.0,-0.093,44.3,-5.25,0.0,0.391,0.614,0.0,-0.162,46.5,-6.59,0.0,0.777,1.47,0.0,-0.028,49.4,-0.79,0.4317,1.498,0.145,-80.71,172.06
ADX < 20,178287,493695,36.11,0.273,0.0,-0.161,44.5,-13.4,0.0,0.435,0.591,0.0,-0.251,46.6,-14.72,0.0,0.841,1.353,0.0,-0.221,49.3,-8.9,0.0,1.574,0.129,-85.61,272.5
Trend UP short (MA5>MA20),245363,493695,49.7,0.339,0.0,-0.075,44.0,-6.3,0.0,0.414,0.741,0.0,-0.019,46.6,-1.16,0.2463,0.761,1.623,0.0,0.256,49.5,10.31,0.0,1.367,0.132,-68.75,547.92
Trend DOWN short,238936,493695,48.4,0.425,0.0,0.094,46.3,8.55,0.0,0.331,0.775,0.0,0.046,48.3,2.94,0.0033,0.728,1.382,0.098,-0.217,50.0,-9.55,0.0,1.599,0.125,-85.61,272.5
Trend UP medium (MA20>MA50),257599,493695,52.18,0.395,0.0,0.039,45.5,3.37,0.0008,0.356,0.803,0.0,0.109,47.7,6.5,0.0,0.694,1.633,0.0,0.291,49.9,11.57,0.0,1.342,0.128,-85.61,547.92
Trend DOWN medium,231851,493695,46.96,0.363,0.0,-0.026,44.2,-2.37,0.0179,0.389,0.707,0.0,-0.082,46.6,-5.28,0.0,0.789,1.367,0.0,-0.24,49.3,-10.99,0.0,1.607,0.13,-81.05,272.5
Trend UP long (MA50>MA200),247852,493695,50.2,0.242,0.0,-0.269,44.5,-23.13,0.0,0.512,0.479,0.0,-0.545,45.9,-32.87,0.0,1.025,0.962,0.0,-1.068,47.3,-43.22,0.0,2.03,0.078,-75.71,547.92
Trend DOWN long,174178,493695,35.28,0.322,0.0,-0.085,43.1,-6.59,0.0,0.406,0.606,0.0,-0.224,45.4,-12.45,0.0,0.83,1.123,0.0,-0.573,47.3,-22.4,0.0,1.696,0.105,-63.34,175.61
Price > MA200,241108,493695,48.84,0.103,0.0,-0.534,43.0,-44.46,0.0,0.637,0.293,0.0,-0.894,44.4,-52.72,0.0,1.188,0.725,0.0,-1.502,45.7,-59.26,0.0,2.228,0.058,-75.71,547.92
Price < MA200,180915,493695,36.65,0.504,0.0,0.202,45.1,16.41,0.0,0.303,0.849,0.0,0.155,47.3,8.85,0.0,0.694,1.433,0.0,-0.096,49.4,-3.91,0.0001,1.529,0.136,-74.24,272.5
Golden Cross,1297,493695,0.26,-0.058,0.0,-0.435,41.4,-2.32,0.0204,0.378,0.396,0.0,-0.356,43.9,-1.39,0.1643,0.752,0.789,-0.364,-0.707,44.6,-2.09,0.0369,1.496,0.065,-47.31,98.71
Death Cross,1474,493695,0.3,0.693,0.0,0.317,47.9,2.35,0.0191,0.376,1.094,0.171,0.344,50.3,2.02,0.0436,0.75,1.75,0.791,0.257,54.1,1.07,0.2835,1.493,0.19,-59.26,74.57
Price cross above MA20,32787,493695,6.64,-0.047,-0.361,-0.454,38.7,-14.5,0.0,0.407,0.236,-0.503,-0.552,41.0,-12.67,0.0,0.788,0.993,-0.318,-0.537,44.7,-8.7,0.0,1.53,0.089,-65.03,431.65
MACD Hist > 0,247693,493695,50.17,0.28,0.0,-0.194,42.4,-16.49,0.0,0.474,0.685,0.0,-0.132,45.3,-7.9,0.0,0.817,1.514,0.0,0.04,48.3,1.67,0.0946,1.474,0.126,-72.7,350.34
MACD Hist < 0,245268,493695,49.68,0.476,0.0,0.197,46.8,17.99,0.0,0.278,0.82,0.0,0.138,48.6,8.84,0.0,0.682,1.484,0.216,-0.021,50.4,-0.88,0.3775,1.504,0.129,-85.61,547.92
MACD Cross Up,21256,493695,4.31,-0.062,-0.295,-0.458,39.1,-11.32,0.0,0.396,0.272,-0.356,-0.5,42.2,-8.91,0.0,0.772,1.04,-0.238,-0.475,45.4,-5.79,0.0,1.514,0.087,-72.7,336.99
MACD Cross Down,21136,493695,4.28,0.95,0.392,0.599,52.8,16.39,0.0,0.351,1.228,0.54,0.498,53.4,9.68,0.0,0.73,1.902,0.828,0.426,54.1,5.61,0.0,1.476,0.172,-69.93,387.5
MACD Hist turning positive,21444,493695,4.34,-0.062,-0.287,-0.459,39.1,-11.39,0.0,0.396,0.256,-0.363,-0.517,42.0,-9.26,0.0,0.773,1.03,-0.236,-0.485,45.4,-5.96,0.0,1.515,0.086,-72.7,336.99
BB %B < 0 (Below Lower),20796,493695,4.21,1.122,0.85,0.778,56.9,17.32,0.0,0.344,1.641,1.18,0.93,58.0,15.12,0.0,0.712,2.553,1.653,1.106,58.6,13.15,0.0,1.447,0.211,-81.05,238.64
BB %B < 0.1,43205,493695,8.75,0.9,0.559,0.574,54.4,19.54,0.0,0.326,1.384,0.867,0.694,55.6,17.17,0.0,0.69,1.972,1.119,0.524,55.4,9.46,0.0,1.448,0.171,-85.61,238.64
BB %B < 0.2,81112,493695,16.43,0.762,0.375,0.461,52.5,22.61,0.0,0.301,1.157,0.585,0.486,53.3,16.99,0.0,0.671,1.659,0.759,0.197,53.5,4.96,0.0,1.462,0.147,-85.61,238.64
BB %B > 0.8,96080,493695,19.46,0.216,-0.179,-0.199,42.1,-8.96,0.0,0.415,0.714,-0.127,-0.046,45.1,-1.48,0.1387,0.76,1.775,0.0,0.349,48.4,7.67,0.0,1.426,0.126,-68.75,431.65
BB %B > 1.0 (Above Upper),31197,493695,6.32,0.376,-0.327,-0.0,42.1,-0.0,0.9984,0.376,0.84,-0.426,0.095,44.1,1.48,0.1391,0.745,1.896,-0.161,0.43,47.3,4.8,0.0,1.467,0.12,-68.75,350.34
BB Squeeze (<6%),105230,493695,21.31,0.258,0.0,-0.151,41.2,-13.83,0.0,0.409,0.525,0.0,-0.287,44.1,-17.46,0.0,0.812,1.135,0.0,-0.457,47.6,-18.09,0.0,1.591,0.138,-85.61,147.44
BB Squeeze (<8%),168844,493695,34.2,0.25,0.0,-0.192,42.5,-20.88,0.0,0.442,0.534,0.0,-0.329,45.2,-24.29,0.0,0.864,1.15,0.0,-0.522,48.3,-25.62,0.0,1.673,0.137,-85.61,147.44
BB Expansion (>20%),93560,493695,18.95,0.703,0.0,0.403,46.3,14.57,0.0,0.3,1.275,0.0,0.647,48.6,16.66,0.0,0.628,2.26,0.358,0.945,50.6,16.47,0.0,1.315,0.129,-72.08,547.92
Stoch K < 15 (Deep OS),66189,493695,13.41,1.051,0.403,0.779,52.6,32.34,0.0,0.272,1.521,0.731,0.889,54.1,26.34,0.0,0.632,2.186,1.023,0.799,54.8,17.24,0.0,1.387,0.183,-84.17,238.64
Stoch K < 20,87082,493695,17.64,0.94,0.347,0.684,52.1,33.62,0.0,0.256,1.375,0.616,0.758,53.5,26.49,0.0,0.617,1.988,0.912,0.6,54.1,15.13,0.0,1.388,0.17,-84.17,238.64
Stoch K > 80,100279,493695,20.31,0.096,0.0,-0.352,39.5,-16.83,0.0,0.448,0.51,0.0,-0.302,43.3,-10.3,0.0,0.812,1.444,0.0,-0.062,47.4,-1.46,0.1439,1.507,0.107,-68.75,431.65
Stoch K > 85,78187,493695,15.84,0.084,0.0,-0.347,38.6,-14.0,0.0,0.431,0.477,0.0,-0.325,42.6,-9.38,0.0,0.802,1.385,0.0,-0.13,46.6,-2.59,0.0095,1.514,0.099,-68.75,431.65
Stoch K cross D from OS,26752,493695,5.42,0.352,0.0,-0.026,49.0,-0.74,0.4596,0.378,0.78,0.169,0.031,50.4,0.62,0.5373,0.749,1.078,0.204,-0.44,50.4,-6.29,0.0,1.518,0.094,-85.61,233.33
CCI < -100,81792,493695,16.57,0.594,0.168,0.261,50.5,12.95,0.0,0.333,0.977,0.378,0.271,51.7,9.61,0.0,0.706,1.441,0.533,-0.064,52.2,-1.62,0.1053,1.505,0.128,-85.61,238.64
CCI < -150,32546,493695,6.59,0.772,0.408,0.424,52.8,12.34,0.0,0.349,1.311,0.785,0.6,54.7,12.63,0.0,0.711,2.043,1.124,0.588,55.5,9.01,0.0,1.455,0.174,-84.36,238.64
CCI > 100,95106,493695,19.26,0.273,0.0,-0.128,42.8,-5.74,0.0,0.401,0.77,0.0,0.023,45.5,0.75,0.456,0.746,1.854,0.0,0.446,48.9,9.78,0.0,1.408,0.132,-68.75,431.65
CCI > 200,20708,493695,4.19,0.437,-0.247,0.063,42.1,1.07,0.2866,0.374,0.74,-0.483,-0.011,43.2,-0.14,0.8864,0.751,1.828,-0.339,0.349,46.5,3.15,0.0017,1.479,0.115,-68.75,336.99
Williams %R < -80,87075,493695,17.64,0.94,0.347,0.685,52.1,33.63,0.0,0.256,1.375,0.616,0.758,53.5,26.49,0.0,0.617,1.988,0.912,0.6,54.1,15.12,0.0,1.388,0.17,-84.17,238.64
Williams %R > -20,100280,493695,20.31,0.096,0.0,-0.352,39.5,-16.83,0.0,0.448,0.51,0.0,-0.302,43.3,-10.3,0.0,0.812,1.445,0.0,-0.061,47.4,-1.45,0.148,1.506,0.107,-68.75,431.65
ATR% < 1.5 (Very Low Vol),73837,493695,14.96,0.288,0.0,-0.104,37.1,-6.51,0.0,0.392,0.636,0.0,-0.135,42.5,-5.71,0.0,0.771,1.317,0.0,-0.208,47.8,-5.91,0.0,1.525,0.137,-85.61,318.68
ATR% < 2 (Low Vol),135260,493695,27.4,0.307,0.0,-0.096,41.0,-8.26,0.0,0.403,0.648,0.0,-0.141,45.2,-8.35,0.0,0.79,1.308,0.0,-0.255,49.5,-10.29,0.0,1.564,0.143,-85.61,349.61
ATR% 2-4 (Normal),248493,493695,50.33,0.368,0.0,-0.017,46.2,-1.6,0.1085,0.385,0.728,0.0,-0.047,48.1,-3.18,0.0015,0.774,1.496,0.0,0.004,50.0,0.17,0.8682,1.492,0.139,-84.36,350.34
ATR% > 5 (High Vol),51243,493695,10.38,0.443,0.0,0.074,43.9,1.94,0.0524,0.369,0.787,0.0,0.04,44.6,0.75,0.455,0.747,1.539,0.0,0.05,45.8,0.62,0.5321,1.489,0.085,-75.71,547.92
ATR% > 7 (Extreme Vol),10050,493695,2.04,0.547,0.0,0.174,43.1,1.62,0.1061,0.373,0.716,0.0,-0.036,43.6,-0.24,0.8065,0.752,0.932,-1.389,-0.573,43.2,-2.73,0.0063,1.506,0.044,-75.71,291.74
Momentum +5% to +15% (20D),89376,493695,18.1,0.236,0.0,-0.172,43.1,-8.77,0.0,0.408,0.695,0.0,-0.068,46.1,-2.5,0.0123,0.763,1.612,0.0,0.144,49.1,3.59,0.0003,1.468,0.135,-56.85,547.92
